delta, cmd
"0:01:54.705549", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.467981", "rm ./zero"
"0:01:52.503641", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.411975", "rm ./zero"
"0:01:52.290776", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.441553", "rm ./zero"
