delta, cmd
"0:00:16.691962", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:03.561680", "rm ./zero"
"0:00:17.006083", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:03.289916", "rm ./zero"
"0:00:16.499545", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:03.373153", "rm ./zero"
