delta, cmd
"0:00:36.215491", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.631612", "rm ./zero"
"0:00:31.311331", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.637371", "rm ./zero"
"0:00:31.242503", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.662557", "rm ./zero"
