delta, cmd
"0:05:08.354589", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.216649", "rm ./zero"
"0:34:26.634599", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.054141", "rm ./zero"
"0:05:23.168585", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.333313", "rm ./zero"
"0:34:47.317106", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.455331", "rm ./zero"
"0:05:19.710029", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.469046", "rm ./zero"
"0:37:49.270161", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.416301", "rm ./zero"
