machine,limits,benchmark,lower_is_better,class,repetition,result
"192.168.140.82","quota-7111","stressng-matrix-frobenius",false,"matrix","rep-1",20078.104356
"192.168.140.82","quota-7111","stressng-matrix-mult",false,"matrix","rep-1",71746.766063
"192.168.140.82","quota-7111","stressng-matrix-prod",false,"matrix","rep-1",135.923611
"192.168.140.82","quota-7111","stressng-matrix-sub",false,"matrix","rep-1",51411.81346
"192.168.140.82","quota-7111","stressng-matrix-hadamard",false,"matrix","rep-1",51621.540919
"192.168.140.82","quota-7111","stressng-matrix-trans",false,"matrix","rep-1",20080.28043
"192.168.140.82","quota-7111","stressng-string-index",false,"string","rep-1",27354.509567
"192.168.140.82","quota-7111","stressng-string-rindex",false,"string","rep-1",18944.30017
"192.168.140.82","quota-7111","stressng-string-strcasecmp",false,"string","rep-1",9988.510869
"192.168.140.82","quota-7111","stressng-string-strcat",false,"string","rep-1",9707.174773
"192.168.140.82","quota-7111","stressng-string-strchr",false,"string","rep-1",27332.338448
"192.168.140.82","quota-7111","stressng-string-strcoll",false,"string","rep-1",10920.360144
"192.168.140.82","quota-7111","stressng-string-strcmp",false,"string","rep-1",13744.256035
"192.168.140.82","quota-7111","stressng-string-strcpy",false,"string","rep-1",29904.679672
"192.168.140.82","quota-7111","stressng-string-strlen",false,"string","rep-1",33032.711854
"192.168.140.82","quota-7111","stressng-string-strncasecmp",false,"string","rep-1",8553.124675
"192.168.140.82","quota-7111","stressng-string-strncat",false,"string","rep-1",6995.444198
"192.168.140.82","quota-7111","stressng-string-strncmp",false,"string","rep-1",10044.820181
"192.168.140.82","quota-7111","stressng-string-strrchr",false,"string","rep-1",18740.979087
"192.168.140.82","quota-7111","stressng-string-strxfrm",false,"string","rep-1",2131.081252
"192.168.140.82","quota-7111","stressng-cpu-af-alg",false,"cpu","rep-1",104152.135951
"192.168.140.82","quota-7111","stressng-cpu-bsearch",false,"cpu","rep-1",52.181131
"192.168.140.82","quota-7111","stressng-cpu-cpu",false,"cpu","rep-1",45.956082
"192.168.140.82","quota-7111","stressng-cpu-crypt",false,"cpu","rep-1",63.083403
"192.168.140.82","quota-7111","stressng-cpu-hsearch",false,"cpu","rep-1",1388.265015
"192.168.140.82","quota-7111","stressng-cpu-longjmp",false,"cpu","rep-1",42201.703862
"192.168.140.82","quota-7111","stressng-cpu-lsearch",false,"cpu","rep-1",2.50001
"192.168.140.82","quota-7111","stressng-cpu-numa",false,"cpu","rep-1",29.542085
"192.168.140.82","quota-7111","stressng-cpu-qsort",false,"cpu","rep-1",2.699997
"192.168.140.82","quota-7111","stressng-cpu-str",false,"cpu","rep-1",9392.277607
"192.168.140.82","quota-7111","stressng-cpu-stream",false,"cpu","rep-1",14.919561
"192.168.140.82","quota-7111","stressng-cpu-tsearch",false,"cpu","rep-1",6.670066
"192.168.140.82","quota-7111","stressng-cpu-vecmath",false,"cpu","rep-1",11128.99446
"192.168.140.82","quota-7111","stressng-cpu-wcs",false,"cpu","rep-1",4315.289502
"192.168.140.82","quota-7111","stressng-memory-context",false,"memory","rep-1",1497.505391
"192.168.140.82","quota-7111","stressng-memory-lockbus",false,"memory","rep-1",525646.504045
"192.168.140.82","quota-7111","stressng-memory-malloc",false,"memory","rep-1",10639.923514
"192.168.140.82","quota-7111","stressng-memory-matrix",false,"memory","rep-1",1318.837323
"192.168.140.82","quota-7111","stressng-memory-memcpy",false,"memory","rep-1",470.566118
"192.168.140.82","quota-7111","stressng-memory-memfd",false,"memory","rep-1",0.095643
"192.168.140.82","quota-7111","stressng-memory-mincore",false,"memory","rep-1",11625.28816
"192.168.140.82","quota-7111","stressng-memory-null",false,"memory","rep-1",1739984.59206
"192.168.140.82","quota-7111","stressng-memory-pipe",false,"memory","rep-1",81025.430928
"192.168.140.82","quota-7111","stressng-memory-str",false,"memory","rep-1",9610.25066
"192.168.140.82","quota-7111","stressng-memory-zero",false,"memory","rep-1",836685.18781
"192.168.140.82","quota-7111","stressng-cpu-cache-cache","cpu-cache","rep-1",24.600106
"192.168.140.82","quota-7111","stressng-cpu-cache-icache","cpu-cache","rep-1",1723.602753
"192.168.140.82","quota-7111","stressng-cpu-ackermann",false,"cpu","rep-2",1.466636
"192.168.140.82","quota-7111","stressng-cpu-bitops",false,"cpu","rep-2",1240.573321
"192.168.140.82","quota-7111","stressng-cpu-callfunc",false,"cpu","rep-2",52908.758942
"192.168.140.82","quota-7111","stressng-cpu-cdouble",false,"cpu","rep-2",3031.086342
"192.168.140.82","quota-7111","stressng-cpu-cfloat",false,"cpu","rep-2",1418.734007
"192.168.140.82","quota-7111","stressng-cpu-clongdouble",false,"cpu","rep-2",355.786267
"192.168.140.82","quota-7111","stressng-cpu-correlate",false,"cpu","rep-2",21.233012
"192.168.140.82","quota-7111","stressng-cpu-crc16",false,"cpu","rep-2",68.951225
"192.168.140.82","quota-7111","stressng-cpu-decimal32",false,"cpu","rep-2",741.880119
"192.168.140.82","quota-7111","stressng-cpu-decimal64",false,"cpu","rep-2",805.418178
"192.168.140.82","quota-7111","stressng-cpu-decimal128",false,"cpu","rep-2",100.593241
"192.168.140.82","quota-7111","stressng-cpu-dither",false,"cpu","rep-2",19.044426
"192.168.140.82","quota-7111","stressng-cpu-djb2a",false,"cpu","rep-2",42191.698168
"192.168.140.82","quota-7111","stressng-cpu-double",false,"cpu","rep-2",3340.639548
"192.168.140.82","quota-7111","stressng-cpu-euler",false,"cpu","rep-2",3061258.5375
"192.168.140.82","quota-7111","stressng-cpu-explog",false,"cpu","rep-2",60.837702
"192.168.140.82","quota-7111","stressng-cpu-fft",false,"cpu","rep-2",180.975207
"192.168.140.82","quota-7111","stressng-cpu-fibonacci",false,"cpu","rep-2",7977450.85906
"192.168.140.82","quota-7111","stressng-cpu-float",false,"cpu","rep-2",18510.948106
"192.168.140.82","quota-7111","stressng-cpu-fnv1a",false,"cpu","rep-2",38558.636892
"192.168.140.82","quota-7111","stressng-cpu-gamma",false,"cpu","rep-2",46.104784
"192.168.140.82","quota-7111","stressng-cpu-gcd",false,"cpu","rep-2",1324.398295
"192.168.140.82","quota-7111","stressng-cpu-gray",false,"cpu","rep-2",10703.494641
"192.168.140.82","quota-7111","stressng-cpu-hamming",false,"cpu","rep-2",257.652853
"192.168.140.82","quota-7111","stressng-cpu-hanoi",false,"cpu","rep-2",49.397915
"192.168.140.82","quota-7111","stressng-cpu-hyperbolic",false,"cpu","rep-2",336.478436
"192.168.140.82","quota-7111","stressng-cpu-idct",false,"cpu","rep-2",12484.431253
"192.168.140.82","quota-7111","stressng-cpu-int128",false,"cpu","rep-2",2583.818429
"192.168.140.82","quota-7111","stressng-cpu-int64",false,"cpu","rep-2",17760.615668
"192.168.140.82","quota-7111","stressng-cpu-int32",false,"cpu","rep-2",18235.241737
"192.168.140.82","quota-7111","stressng-cpu-int16",false,"cpu","rep-2",16890.235437
"192.168.140.82","quota-7111","stressng-cpu-int8",false,"cpu","rep-2",13955.185176
"192.168.140.82","quota-7111","stressng-cpu-int128float",false,"cpu","rep-2",2488.276626
"192.168.140.82","quota-7111","stressng-cpu-int128double",false,"cpu","rep-2",1495.898643
"192.168.140.82","quota-7111","stressng-cpu-int128longdouble",false,"cpu","rep-2",300.473078
"192.168.140.82","quota-7111","stressng-cpu-int128decimal32",false,"cpu","rep-2",602.281203
"192.168.140.82","quota-7111","stressng-cpu-int128decimal64",false,"cpu","rep-2",614.683352
"192.168.140.82","quota-7111","stressng-cpu-int128decimal128",false,"cpu","rep-2",96.66061
"192.168.140.82","quota-7111","stressng-cpu-int64float",false,"cpu","rep-2",11263.71477
"192.168.140.82","quota-7111","stressng-cpu-int64double",false,"cpu","rep-2",2995.359865
"192.168.140.82","quota-7111","stressng-cpu-int64longdouble",false,"cpu","rep-2",322.495475
"192.168.140.82","quota-7111","stressng-cpu-int32float",false,"cpu","rep-2",11952.426502
"192.168.140.82","quota-7111","stressng-cpu-int32double",false,"cpu","rep-2",3033.248148
"192.168.140.82","quota-7111","stressng-cpu-int32longdouble",false,"cpu","rep-2",322.888468
"192.168.140.82","quota-7111","stressng-cpu-jenkin",false,"cpu","rep-2",14772.347195
"192.168.140.82","quota-7111","stressng-cpu-jmp",false,"cpu","rep-2",17809.750105
"192.168.140.82","quota-7111","stressng-cpu-ln2",false,"cpu","rep-2",13404.536433
"192.168.140.82","quota-7111","stressng-cpu-longdouble",false,"cpu","rep-2",327.080434
"192.168.140.82","quota-7111","stressng-cpu-loop",false,"cpu","rep-2",10704.998979
"192.168.140.82","quota-7111","stressng-cpu-matrixprod",false,"cpu","rep-2",59.942132
"192.168.140.82","quota-7111","stressng-cpu-nsqrt",false,"cpu","rep-2",68.640673
"192.168.140.82","quota-7111","stressng-cpu-omega",false,"cpu","rep-2",879835.289058
"192.168.140.82","quota-7111","stressng-cpu-parity",false,"cpu","rep-2",2262.577344
