delta, cmd
"0:00:12.997253", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.625967", "rm ./zero"
"0:00:12.766199", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.624152", "rm ./zero"
"0:00:12.813753", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.637174", "rm ./zero"
