delta, cmd
"0:00:38.576768", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.391994", "rm ./zero"
"0:01:52.934829", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.392598", "rm ./zero"
"0:01:03.868828", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.395692", "rm ./zero"
"0:01:52.510465", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.519167", "rm ./zero"
"0:00:57.119574", "dd if=/dev/zero of=./zero bs=1M count=30720"
"0:00:02.514631", "rm ./zero"
"0:01:52.558644", "dd if=/dev/zero of=./zero bs=4k count=7864320"
"0:00:02.463275", "rm ./zero"
